#Sumatra CSVExporter
#Sun Jun 19 00:13:52 CEST 2011
time,setv_x,setv_y,actualv_x,actualv_y,x,y,deltaT
289514269087758,-10.00004,-2.2586713,0.35387498,0.08640483,3696.397,602.6007,0.02124999836087227
289514291026220,-10.000039,-2.2678761,0.35389695,0.086248025,3711.1296,606.47485,0.02192103862762451
289514315883057,-10.000039,-2.2765007,0.35390425,0.08619575,3716.0408,607.7662,0.023680895566940308
289514334754430,-10.000041,-2.2853858,0.3539175,0.086100705,3724.9697,610.11414,0.0200667642056942
289514355772643,-10.00004,-2.294327,0.3539314,0.086000904,3734.345,612.57947,0.021016187965869904
289514379230265,-10.000041,-2.303586,0.3539525,0.08584881,3748.6313,616.3362,0.023450732231140137
289514399751682,-10.000039,-2.3123126,0.35395974,0.08579652,3753.5422,617.62756,0.02053154818713665
289514419777519,-10.000081,-2.3211727,0.35397422,0.085691944,3763.364,620.21027,0.02001732774078846
289514439955312,-10.000041,-2.3304033,0.35398865,0.08558736,3773.186,622.793,0.020190760493278503
289514462722038,-10.000041,-2.33978,0.35401022,0.08543046,3787.9187,626.6671,0.022760648280382156
289514482750306,-10.000041,-2.3486052,0.3540174,0.08537816,3792.8296,627.9585,0.02003556117415428
289514502907028,-10.00004,-2.357684,0.35403043,0.08528306,3801.7585,630.3064,0.02015266939997673
289514523926052,-10.000041,-2.3665447,0.35403758,0.08523075,3806.6694,631.5978,0.02101092040538788
289514549128134,-10.00004,-2.3762777,0.3540661,0.0850215,3826.313,636.76324,0.025152239948511124
289514569763823,-10.000041,-2.3852031,0.35407323,0.084969185,3831.224,638.0546,0.02069120481610298
289514590034816,-10.000041,-2.394394,0.3540868,0.0848693,3840.5994,640.51996,0.02026977762579918
289514615015244,-10.000043,-2.4039066,0.35410804,0.08471233,3855.332,644.39404,0.024966243654489517
289514636011576,-10.000042,-2.4129064,0.3541151,0.08466,3860.2432,645.68536,0.021014567464590073
289514656928485,-10.000042,-2.4221628,0.35412857,0.08456009,3869.6184,648.1507,0.020905157551169395
289514680230098,-10.000043,-2.431465,0.35414264,0.08445542,3879.4402,650.73346,0.023317819461226463
289514706912439,-9.999999,-2.4412103,0.35416308,0.08430316,3893.7266,654.4902,0.026669373735785484
289514727422915,-10.000043,-2.4503665,0.35417643,0.08420323,3903.1018,656.95544,0.020510071888566017
289514756837635,-10.000042,-2.460053,0.35419863,0.08403666,3918.7275,661.06433,0.0294216088950634
289514776947757,-10.000042,-2.4691792,0.35420495,0.08398907,3923.192,662.23834,0.020099179819226265
289514797779976,-10.000044,-2.4785976,0.35421887,0.08388436,3933.014,664.82104,0.020841943100094795
289514818793327,-10.000043,-2.487777,0.3542258,0.083831996,3937.9248,666.1124,0.021005652844905853
289514842078326,-10.000044,-2.4977121,0.35425285,0.083627306,3957.1218,671.16046,0.02325136587023735
289514862827071,-10.000043,-2.506928,0.35425913,0.0835797,3961.5864,672.3344,0.02078723907470703
289514882895860,-10.000043,-2.516426,0.3542729,0.08347495,3971.4082,674.9172,0.02007891982793808
289514902934259,-10.000045,-2.5256925,0.3542798,0.08342258,3976.319,676.2085,0.020019760355353355
289514927063730,-10.000043,-2.5354705,0.35430035,0.083265446,3991.0518,680.0826,0.02379719354212284
289514946931532,-10.000044,-2.545028,0.35431403,0.08316068,4000.8735,682.66534,0.02020534873008728
289514966984519,-10.000044,-2.5543594,0.35432088,0.0831083,4005.7844,683.95667,0.020046504214406013
289514987820385,-10.000045,-2.5639462,0.3543345,0.08300352,4015.6062,686.5394,0.020847616717219353
289515008957732,-10.000044,-2.573555,0.3543481,0.082898736,4025.428,689.12213,0.020112959668040276
289515029352316,-10.000045,-2.583414,0.35436845,0.08274154,4040.161,692.9962,0.021385744214057922
289515049813356,-10.000045,-2.5928345,0.3543752,0.08268914,4045.0718,694.2876,0.020491432398557663
289515070800774,-10.000046,-2.6024976,0.3543887,0.08258434,4054.8936,696.8703,0.02098863199353218
289515093143237,-10.000044,-2.6123915,0.3544083,0.08243188,4069.1797,700.627,0.022337600588798523
289515113197439,-10.000045,-2.6218677,0.354415,0.08237947,4074.0906,701.91833,0.02006392739713192
289515133927543,-10.000046,-2.6315851,0.3544284,0.08227464,4083.9124,704.50104,0.020736588165163994
