#Sumatra CSVExporter
#Sat Jun 18 11:42:37 CEST 2011
time,setx,sety,setv,actx,acty,actv
243812559430783,0.0,0.5,0,6.5268995E-4,-0.0029433854,1.6790559
243812566553692,0.0,0.5,0,-3.3193853E-4,-0.0023859749,1.6729177
243812582960533,0.0,0.5,0,-3.1351828E-4,-0.0023884655,1.6717765
243812593546428,0.0,0.5,0,1.0767093E-4,-0.0030141794,1.6796541
243812605886510,0.0,0.5,0,1.2488171E-4,-0.0030135151,1.6796459
243812619570291,0.0,0.5,0,0.0013076719,-0.005201948,1.6846571
243812629547550,0.0,0.5,0,0.0013293562,-0.005196449,1.6850693
243812646578831,0.0,0.5,0,0.0014153888,-0.005174682,1.6825854
243812652470690,0.0,0.5,0,0.0014311404,-0.0051703476,1.6826901
243812672896881,0.0,0.5,0,7.8657E-5,-0.0028735332,1.6856052
243812675457855,0.0,0.5,0,8.312531E-5,-0.0028734074,1.6857395
243812699609208,0.0,0.5,0,-5.0282275E-4,-4.4564818E-4,1.6868961
243812723218786,0.0,0.5,0,-4.983186E-4,-4.5067898E-4,1.6878201
243812725526498,0.0,0.5,0,0.0012800604,0.0012935158,1.6793919
243812745542610,0.0,0.5,0,0.0012680975,0.0013052457,1.6789265
243812752678486,0.0,0.5,0,9.770835E-4,0.0013792955,1.6740451
243812768550440,0.0,0.5,0,9.659185E-4,0.0013871373,1.6730384
243812778212846,0.0,0.5,0,0.0025787093,0.0019677114,1.6776747
243812791189928,0.0,0.5,0,0.0025664612,0.0019836598,1.6774334
243812804464440,0.0,0.5,0,0.0038883677,0.0026022391,1.6797642
243812815364379,0.0,0.5,0,0.003876177,0.0026203634,1.6798024
243812830887442,0.0,0.5,0,0.0012305018,0.0014603155,1.6840919
243812837629446,0.0,0.5,0,0.001225942,0.0014641456,1.6843809
243812857243582,0.0,0.5,0,0.0010960292,0.0013791148,1.6769836
243812860890537,0.0,0.5,0,0.0010934623,0.0013811506,1.6768713
243812933496554,0.0,0.5,0,1.8367433E-4,4.1713376E-4,1.6736633
243812945172890,0.0,0.5,0,-0.0013933242,-0.005900356,1.6684555
243812954527330,0.0,0.5,0,-0.0013288062,-0.0059152204,1.6668922
243812963536930,0.0,0.5,0,-0.0010169474,-0.0064145103,1.6785154
243812977518952,0.0,0.5,0,-9.785835E-4,-0.006420475,1.6785141
243813001671115,0.0,0.5,0,-9.1294147E-4,-0.006430137,1.6785119
243813010615476,0.0,0.5,0,-0.0014067297,-0.0043928595,1.6856599
243813024116910,0.0,0.5,0,-0.0013816336,-0.0044008177,1.6864153
243813037503262,0.0,0.5,0,-0.0012968922,-0.0045160786,1.6740434
243813047074088,0.0,0.5,0,-0.0012735387,-0.0045227204,1.6733326
243813063580613,0.0,0.5,0,-1.6049025E-4,6.0829666E-4,1.6721293
243813070267508,0.0,0.5,0,-1.6269856E-4,6.077098E-4,1.671614
243813089498713,0.0,0.5,0,0.0087801125,-3.5278685E-4,1.669998
243813093523331,0.0,0.5,0,0.008780833,-3.3436628E-4,1.6696814
243813116572899,0.0,0.5,0,0.0071733585,9.0725254E-5,1.6803923
243813117362667,0.0,0.5,0,0.007173306,9.479659E-5,1.6804315
243813140476259,0.0,0.5,0,0.007172058,1.6399025E-4,1.6811035
243813142456556,0.0,0.5,0,0.02115284,-0.0013254747,1.6848681
243813163649824,0.0,0.5,0,0.02116368,-0.0011394089,1.6860765
243813168705314,0.0,0.5,0,0.0136496965,1.7423742E-4,1.692208
243813186395884,0.0,0.5,0,0.013648057,2.7407566E-4,1.6940565
243813196509701,0.0,0.5,0,0.0059786798,6.6042074E-4,1.6893909
243813210454443,0.0,0.5,0,0.0059744795,6.973969E-4,1.6902584
243813240391893,0.0,0.5,0,2.2894266E-4,3.5742554E-4,1.6842376
243813248533113,0.0,0.5,0,-0.0022336007,-0.00349571,1.6722074
243813256778879,0.0,0.5,0,-0.00221852,-0.0035053003,1.6713424
243813274505918,0.0,0.5,0,-0.002347236,-0.0033676133,1.6704167
243813286988636,0.0,0.5,0,-0.0023380492,-0.003373998,1.6699167
243813307820855,0.0,0.5,0,-0.00233241,-0.0029061148,1.6775756
243813325555188,0.0,0.5,0,-0.002301241,-0.002930858,1.6771699
243813327439043,0.0,0.5,0,-0.0026275006,-0.0056524603,1.6817741
243813349466247,0.0,0.5,0,-0.0025715048,-0.005678153,1.6821306
243813353156561,0.0,0.5,0,-0.0025380123,-0.005718726,1.6831607
243813372500012,0.0,0.5,0,-0.0024893912,-0.005740058,1.6836066
243813379976270,0.0,0.5,0,-0.0018560517,-0.0016596625,1.6875502
243813395267548,0.0,0.5,0,-0.0018448924,-0.0016720587,1.688401
243813405940971,0.0,0.5,0,-0.0017743446,-0.0016205345,1.6802844
243813418191499,0.0,0.5,0,-0.0017647184,-0.0016310117,1.6800637
243813433500201,0.0,0.5,0,0.0075322026,0.004605669,1.6690401
243813460540349,0.0,0.5,0,0.0073960233,0.004754499,1.6763821
243813461399004,0.0,0.5,0,0.0073910872,0.004762169,1.6763319
243813485659766,0.0,0.5,0,0.0073389784,0.0048420876,1.6758053
243813486418333,0.0,0.5,0,0.009310676,0.004429058,1.6816821
243813509248678,0.0,0.5,0,0.009266594,0.0045205588,1.6821645
243813512583211,0.0,0.5,0,0.010283857,0.0045959745,1.6826445
243813531209832,0.0,0.5,0,0.010244598,0.0046828315,1.6831146
243813538887484,0.0,0.5,0,0.014051352,0.004833051,1.6832439
243813556298859,0.0,0.5,0,0.014017113,0.004931471,1.6836289
243813565940193,0.0,0.5,0,0.0069865906,0.0048888763,1.6815346
243813579371929,0.0,0.5,0,0.0069580474,0.0049294145,1.6815987
243813592721001,0.0,0.5,0,0.001970154,0.002681829,1.6790459
243813601658473,0.0,0.5,0,0.0019582734,0.0026905162,1.6788886
243813622034012,0.0,0.5,0,-0.003986615,-0.009535665,1.6810945
243813628257744,0.0,0.5,0,-0.0039596246,-0.009546905,1.6811178
243813644619606,0.0,0.5,0,-0.0035050954,-0.00989452,1.6842258
243813647498269,0.0,0.5,0,-0.003492475,-0.009898983,1.6843044
243813670547027,0.0,0.5,0,-0.0033876945,-0.009935328,1.6849602
243813671434858,0.0,0.5,0,-0.0034883292,-0.009877549,1.6833652
243813694554123,0.0,0.5,0,-0.003385601,-0.009913229,1.6837368
243813697594468,0.0,0.5,0,-0.0041104686,-0.007278611,1.6860884
243813716814327,0.0,0.5,0,-0.0040481016,-0.0073134806,1.6867484
243813724501704,0.0,0.5,0,-0.0039919163,-0.006606637,1.6861342
243813740032466,0.0,0.5,0,-0.00394335,-0.00663574,1.6865814
243813750833531,0.0,0.5,0,-0.0026567266,-0.0026897728,1.6857975
243813763556138,0.0,0.5,0,-0.0026412024,-0.002705018,1.686034
243813777300702,0.0,0.5,0,0.0030855732,0.0027692534,1.6687431
243813794075480,0.0,0.5,0,0.0030714804,0.0027848764,1.667512
243813803933605,0.0,0.5,0,0.0012675544,0.0041587087,1.6669908
243813809624071,0.0,0.5,0,0.0012535108,0.0041629635,1.6662546
243813830262191,0.0,0.5,0,0.0016562382,0.0046711694,1.6802635
243813833513249,0.0,0.5,0,0.0016498906,0.004673415,1.6803133
243813856758132,0.0,0.5,0,0.001600086,0.0046907007,1.6807078
243813881660758,0.0,0.5,0,0.002372022,0.006945941,1.6865581
243813945564329,0.0,0.5,0,0.0014215728,0.0035713268,1.687525
243813948652085,0.0,0.5,0,0.001297716,0.0034460393,1.679518
243813962686379,0.0,0.5,0,0.0010175057,0.003028576,1.6759645
243813972605287,0.0,0.5,0,0.0010023612,0.0030336222,1.6754616
243813989029148,0.0,0.5,0,-1.4936957E-4,-7.3178446E-5,1.6761912
243813995562871,0.0,0.5,0,-1.4912228E-4,-7.3681076E-5,1.6759365
243814019681807,0.0,0.5,0,-1.4826776E-4,-7.5385826E-5,1.6750727
243814035683836,0.0,0.5,0,0.005564066,-0.0016515192,1.6806009
243814042538491,0.0,0.5,0,0.0055695786,-0.0016328332,1.6806432
243814068197658,0.0,0.5,0,0.004432993,-0.0011951574,1.6855553
243814088645731,0.0,0.5,0,0.007847609,-0.002105993,1.6831269
243814113979103,0.0,0.5,0,0.007869412,-0.002022993,1.6834785
243814117760591,0.0,0.5,0,-0.0045953956,0.0013192846,1.6846795
243814137766572,0.0,0.5,0,-0.0046076905,0.00127568,1.6851822
243814143171765,0.0,0.5,0,-0.0044122054,0.0011735572,1.6849271
243814160733070,0.0,0.5,0,-0.004421566,0.0011377791,1.6852955
243814170099667,0.0,0.5,0,0.0033461468,-0.0012658413,1.6803861
243814211022557,0.0,0.5,0,0.0037401656,-0.0015135069,1.68414
243814223556332,0.0,0.5,0,0.007973024,-0.0038136146,1.6900864
243814232614964,0.0,0.5,0,0.007985346,-0.0037877457,1.6905537
243814247088514,0.0,0.5,0,0.009253595,-0.0043739295,1.6864718
243814251206736,0.0,0.5,0,0.009262246,-0.004355582,1.686556
243814273705614,0.0,0.5,0,0.0062627452,-0.002627248,1.6868635
243814278799600,0.0,0.5,0,0.006264298,-0.0026235422,1.6868874
243814301957361,0.0,0.5,0,0.0062910393,-0.002558756,1.6873087
243814322828076,0.0,0.5,0,0.0021995795,-5.5796886E-4,1.6764036
243814327991354,0.0,0.5,0,-0.0035718088,1.280052E-4,1.6804762
243814346374440,0.0,0.5,0,-0.0035727893,9.685493E-5,1.6801062
243814354989358,0.0,0.5,0,-0.002870114,0.002559858,1.6741728
243814367577027,0.0,0.5,0,-0.0028889426,0.00253859,1.6731862
243814379863620,0.0,0.5,0,-0.004922127,0.0061972016,1.6840739
243814390412640,0.0,0.5,0,-0.004954334,0.006171484,1.6844198
243814404946973,0.0,0.5,0,-0.0057274615,0.009540942,1.6882752
243814413302553,0.0,0.5,0,-0.0057633948,0.009519278,1.6887834
243814431389830,0.0,0.5,0,-0.0057030497,0.008433574,1.6913548
243814436537305,0.0,0.5,0,-0.0057232166,0.008419901,1.6917553
243814460513199,0.0,0.5,0,-0.005323132,0.0021326384,1.6877623
243814494315207,0.0,0.5,0,-0.0053448444,0.0020776233,1.6883821
243814515508069,0.0,0.5,0,-0.0028791782,4.8084257E-4,1.6819847
243814528299562,0.0,0.5,0,0.005596565,0.0023629563,1.6747597
243814540723118,0.0,0.5,0,0.005140188,0.0014198641,1.6692156
243814551951688,0.0,0.5,0,0.005131196,0.0014520211,1.6680024
243814564621211,0.0,0.5,0,0.010072128,0.0066393656,1.6779588
243814572503902,0.0,0.5,0,0.010045018,0.006680309,1.6778855
243814592800829,0.0,0.5,0,0.0066029443,0.0032239095,1.6834314
243814599535539,0.0,0.5,0,0.0065947855,0.0032405674,1.6836468
243814621408762,0.0,0.5,0,0.0021976905,-5.242954E-4,1.6843897
243814621843154,0.0,0.5,0,0.0021976905,-5.242954E-4,1.6843897
243814646826014,0.0,0.5,0,0.0022029104,-5.019126E-4,1.6852478
243814668268895,0.0,0.5,0,0.0036372747,-3.4932117E-4,1.6858007
